id,doc_id,HDI,HDI_Level,CountryRegionMulti,Averaged,GPE,token,Citations,False_Positive,False_Negative,Titles,Journals,SJR,titles_cnt,titles_has_country
6632,text6632,0.838,veryhigh,C,N,turkey,turkey,7,N,Y,prospective middle school mathematics teachers’ points of view on the flipped classroom: the case of turkey,education and information technologies,1.055,107,1
6637,text6637,0.838,veryhigh,C,N,turkey,turkish,6,N,Y,machine learning algorithm for grading open-ended physics questions in turkish,education and information technologies,1.055,78,1
6739,text6739,0.838,veryhigh,C,N,turkey,turkey,11,N,Y,a new trend in preparing for foreign language exam (yds) in turkey: case of whatsapp in mobile learning,education and information technologies,1.055,103,1
6865,text6865,0.838,veryhigh,C,N,turkey,turkey,15,N,Y,blended learning at pre-service teacher education in turkey: a systematic review,education and information technologies,1.055,80,1
6528,text6528,0.911,veryhigh,C,N,uae,ajman,5,N,Y,the effect of blended learning on the achievement of hde students in the methods of teaching arabic language course and their attitudes towards its use at ajman university: a case study,education and information technologies,1.055,185,1
6547,text6547,0.911,veryhigh,C,N,uae,uae,0,N,Y,antecedents to academic success in higher education institutions: the case of uae university,education and information technologies,1.055,92,1
6719,text6719,0.911,veryhigh,C,N,uae,ajman,4,N,Y,to e-textbook or not to e-textbook? a quantitative analysis of the extent of the use of e-textbooks at ajman university from students’ perspectives,education and information technologies,1.055,147,1
6842,text6842,0.911,veryhigh,C,N,uae,uae,112,N,Y,factors affecting the e-learning acceptance: a case study from uae,education and information technologies,1.055,66,1
6950,text6950,0.911,veryhigh,C,N,uae,uae,14,N,Y,examining pre-service teachers’ acceptance of technology-rich learning environments: a uae case study,education and information technologies,1.055,101,1
7013,text7013,0.911,veryhigh,C,N,uae,uae,7,N,Y,learning orientations of it higher education students in uae university,education and information technologies,1.055,71,1
7015,text7015,0.911,veryhigh,C,N,uae,uae,14,N,Y,towards a personality understanding of information technology students and their it learning in uae university,education and information technologies,1.055,110,1
6424,text6424,0.593,medium,C,N,zimbabwe,zimbabwe,0,N,Y,a framework to manage reluctance to bad news reporting on software projects in state universities in zimbabwe,education and information technologies,1.055,109,1
6452,text6452,0.593,medium,C,N,zimbabwe,zimbabwe,4,N,Y,antecedents of university lecturers’ intentions to adopt information and communication technology in zimbabwe,education and information technologies,1.055,109,1
8877,text8877,0.597,medium,C,N,eswatini,eswatini,2,N,Y,a framework for archives and records management education in an open distance e-learning environment in eswatini,education for information,0.874,112,1
8879,text8879,0.895,veryhigh,C,N,italy,pisa,4,N,Y,educational ecosystems for information science: the case of the university of pisa,education for information,0.874,82,1
8934,text8934,0.831,veryhigh,C,N,kuwait,kuwait,5,N,Y,information literacy among graduate students in kuwait university's college of education,education for information,0.874,88,1
8894,text8894,0.961,veryhigh,C,N,norway,troms,0,N,Y,documentation studies at the university of troms oslash a new way to educate librarians?,education for information,0.874,88,1
8893,text8893,0.83,veryhigh,M,Y,"spain,brazil",spanish,1,N,Y,academic libraries on the creative industries track: the perception of spanish and brazilian professionals,education for information,0.874,106,1
4181,text4181,0.768,high,C,N,china,chinese,14,N,Y,privacy perception and protection on chinese social media: a case study of wechat,ethics and information technology,1.328,81,1
1393,text1393,0.925,veryhigh,C,N,south korea,south,2,N,Y,it-leveraged network value cocreation: a case study of the value cocreation process and value capture in the south korean broadcast advertising industry,european journal of information systems,2.201,152,1
1165,text1165,0.951,veryhigh,C,N,australia,australian,20,N,Y,assessing information security risks in the cloud: a case study of australian local government authorities,government information quarterly,2.439,106,1
1193,text1193,0.855,veryhigh,C,N,chile,chile,2,N,Y,ideology beyond partisanship: the behavior of judges on freedom of information cases in chile,government information quarterly,2.439,93,1
1131,text1131,0.768,high,C,N,china,chinese,2,N,Y,weibo diplomacy: foreign embassies communicating on chinese social media,government information quarterly,2.439,72,1
1112,text1112,0.796,high,R,N,eu,european,4,N,Y,do nudgers need budging? a comparative analysis of european smart meter implementation,government information quarterly,2.439,86,1
1280,text1280,0.796,high,R,N,eu,european,13,N,Y,the use of youtube in western european municipalities,government information quarterly,2.439,53,1
1117,text1117,0.94,veryhigh,C,N,finland,finnish,1,N,Y,records management as invisible work: a study of finnish municipalities,government information quarterly,2.439,71,1
1144,text1144,0.633,medium,C,N,india,punjab,33,N,Y,can twitter analytics predict election outcome? an insight from 2017 punjab assembly elections,government information quarterly,2.439,94,1
1174,text1174,0.895,veryhigh,C,N,italy,italian,34,N,Y,"government as a platform, orchestration, and public value creation: the italian case",government information quarterly,2.439,84,1
1212,text1212,0.925,veryhigh,C,N,south korea,korean,20,N,Y,information privacy concerns and demographic characteristics: data from a korean media panel survey,government information quarterly,2.439,99,1
1214,text1214,0.925,veryhigh,C,N,south korea,korean,22,N,Y,collaborative accountability for sustainable public health: a korean perspective on the effective use of ict-based health risk communication,government information quarterly,2.439,140,1
1102,text1102,0.905,veryhigh,C,N,spain,majorca,11,N,Y,user roles for emergency management in social media: understanding actors' behavior during the 2018 majorca island flash floods,government information quarterly,2.439,127,1
1209,text1209,0.905,veryhigh,C,N,spain,andalusian,63,N,Y,twitter as a tool for citizen engagement: an empirical study of the andalusian municipalities,government information quarterly,2.439,93,1
1233,text1233,0.905,veryhigh,C,N,spain,spanish,11,N,Y,the impact of explanatory factors on a bidimensional model of transparency in spanish local government,government information quarterly,2.439,102,1
1195,text1195,0.929,veryhigh,C,N,uk,gibraltar,9,N,Y,regulation as both enabler of technology use and global competitive tool: the gibraltar case,government information quarterly,2.439,92,1
1217,text1217,0.929,veryhigh,C,N,uk,uk,11,N,Y,resilience orchestration and resilience facilitation: how government can orchestrate the whole uk ports market with limited resources – the case of uk ports resilience,government information quarterly,2.439,167,1
1261,text1261,0.929,veryhigh,C,N,uk,uk,6,N,Y,public engagement with uk government data science: propositions from a literature review of public engagement on new technologies,government information quarterly,2.439,129,1
8938,text8938,0.796,high,R,N,eu,irish,0,N,Y,"the international collaborations of shane godbolt: eahil, icml and irish health science libraries",health information and libraries journal,0.869,97,1
9002,text9002,0.535,low,C,N,nigeria,nigeria,10,N,Y,"use of the internet as a source for reproductive health information seeking among adolescent girls in secondary schools in enugu, nigeria",health information and libraries journal,0.869,137,1
9023,text9023,0.929,veryhigh,C,N,uk,england,0,N,Y,ebook management in nhs libraries in the north of england: perceptions and practice,health information and libraries journal,0.869,83,1
11044,text11044,0.547,low,R,N,africa,africa,7,N,Y,knowledge and use of self-archiving options among academic librarians working in universities in africa,information and learning science,0.688,103,1
11032,text11032,0.661,medium,C,n,bangladesh,dhaka,5,N,Y,"information security behaviour of smartphone users: an empirical study on the students of university of dhaka, bangladesh",information and learning science,0.688,121,1
11047,text11047,0.744,high,M,Y,"brazil,russia,india,china",brics,6,N,Y,library and information science research in brics countries,information and learning science,0.688,59,1
11024,text11024,0.615,medium,C,N,namibia,namibian,1,N,Y,learners’ perceptions on online library resources at namibian college of open learning,information and learning science,0.688,86,1
11036,text11036,0.615,medium,C,N,namibia,namibian,0,N,Y,the teaching of information communication in namibian schools,information and learning science,0.688,61,1
11042,text11042,0.615,medium,C,N,namibia,namibian,6,N,Y,providing digital reference services: a namibian case study,information and learning science,0.688,59,1
11004,text11004,0.535,low,C,N,nigeria,nigeria,2,N,Y,"internet literacy skills of community pharmacists in lagos state, nigeria",information and learning science,0.688,73,1
10924,text10924,0.866,veryhigh,C,N,portugal,portuguese,5,N,Y,acceptance and use of information technology: context of portuguese universities,information and learning science,0.688,80,1
11053,text11053,0.929,veryhigh,C,N,uk,sheffield,4,N,Y,supporting the employability agenda in university libraries: a case study from the university of sheffield,information and learning science,0.688,106,1
10991,text10991,0.921,veryhigh,C,N,us,usa,2,N,Y,a comparative analysis of instructional course themes in lis and museum studies programs in the usa,information and learning science,0.688,99,1
11035,text11035,0.703,high,C,N,vietnam,mekong,1,N,Y,enhancing librarianship students’ awareness of preservation at the learning resource center of a mekong delta university,information and learning science,0.688,120,1
1637,text1637,0.951,veryhigh,C,N,australia,australian,0,N,Y,addressing a volatile subject: adaptive measurement of australian digital capacities,information communication and society,1.968,84,1
1751,text1751,0.951,veryhigh,C,N,australia,australian,8,N,Y,healthy infrastructure: australian national broadband network policy implementation and its importance to health equity,information communication and society,1.968,119,1
1741,text1741,0.855,veryhigh,C,N,chile,chile,8,N,Y,varieties of digital activist practices: students and mobilization in chile,information communication and society,1.968,75,1
1615,text1615,0.768,high,C,N,china,chinese,6,N,Y,"multiple uses and anti-purposefulness on momo, a chinese dating/social app",information communication and society,1.968,74,1
1668,text1668,0.768,high,C,N,china,chinese,10,N,Y,"chilling netflix: financialization, and the influence of the chinese market on the american entertainment industry",information communication and society,1.968,114,1
1683,text1683,0.768,high,C,N,china,chinese,28,N,Y,"calculating dating goals: data gaming and algorithmic sociality on blued, a chinese gay dating app",information communication and society,1.968,98,1
1696,text1696,0.768,high,C,N,china,chinese,9,N,Y,from non-player characters to othered participants: chinese women's gaming experience in the ‘free’ digital market,information communication and society,1.968,114,1
1707,text1707,0.768,high,C,N,china,chinanet,6,N,Y,meta-information censorship and the creation of the chinanet bubble,information communication and society,1.968,67,1
1735,text1735,0.796,high,R,N,eu,europe,9,N,Y,governance by indicators: the case of the digital agenda for europe,information communication and society,1.968,67,1
1643,text1643,0.705,high,C,N,indonesia,indonesian,11,N,Y,fake news practices in indonesian newsrooms during and after the palu earthquake: a hierarchy-of-influences approach,information communication and society,1.968,116,1
1859,text1859,0.919,veryhigh,C,N,israel,israeli,14,N,Y,childless in an ivf-nation: online stigma-coping strategies in support groups for childless israeli women,information communication and society,1.968,105,1
1649,text1649,0.895,veryhigh,C,N,italy,italian,28,N,Y,it takes a village to manipulate the media: coordinated link sharing behavior during 2018 and 2019 italian elections,information communication and society,1.968,116,1
1839,text1839,0.895,veryhigh,C,N,italy,italian,10,N,Y,diverging patterns of interaction around news on social media: insularity and partisanship during the 2018 italian election campaign,information communication and society,1.968,132,1
1818,text1818,0.754,high,R,N,latin america,latin,25,N,Y,"age for learning, age for teaching: the role of inter-generational, intra-household learning in internet use by older adults in latin america",information communication and society,1.968,141,1
1939,text1939,0.683,medium,C,N,morocco,moroccan,5,N,Y,citizens of the margin: citizenship and youth participation on the moroccan social web,information communication and society,1.968,86,1
1723,text1723,0.941,veryhigh,C,N,netherlands,dutch,7,N,Y,finding the news and mapping the links: a case study of hypertextuality in dutch-language health news websites,information communication and society,1.968,110,1
1727,text1727,0.941,veryhigh,C,N,netherlands,chinese,30,N,Y,"chinese computational propaganda: automation, algorithms and the manipulation of information about chinese politics on twitter and weibo",information communication and society,1.968,136,1
1732,text1732,0.937,veryhigh,C,N,new zealand,new,4,N,Y,how do 10-year-old new zealanders participate in a digital world?,information communication and society,1.968,65,1
1759,text1759,0.699,medium,C,N,philippines,philippines,17,N,Y,towards professionalism through social networks: constructing an occupational community via facebook usage by temporary migrant workers from the philippines,information communication and society,1.968,156,1
1677,text1677,0.905,veryhigh,C,N,spain,spanish,6,N,Y,affective homogeneity in the spanish general election debate. a comparative analysis of social networks political agents,information communication and society,1.968,120,1
1631,text1631,0.577,medium,C,N,syria,syrian,7,N,Y,understanding power positions in a new digital landscape: perceptions of syrian refugees and data experts on relocation algorithm,information communication and society,1.968,129,1
1628,text1628,0.929,veryhigh,C,N,uk,edinburgh,7,N,Y,delivering edinburgh: uncovering the digital geography of platform labour in the city,information communication and society,1.968,85,1
1912,text1912,0.929,veryhigh,C,N,uk,oslo,28,N,Y,visual social media and affectivity: the impact of the image of alan kurdi and young people’s response to the refugee crisis in oslo and sheffield,information communication and society,1.968,146,1
1674,text1674,0.921,veryhigh,C,N,us,us,53,N,Y,fake news as an informational moral panic: the symbolic deviancy of social media during the 2016 us presidential election,information communication and society,1.968,121,1
1734,text1734,0.921,veryhigh,C,N,us,us,7,N,Y,googling for trump: investigating online information seeking during the 2016 us presidential election,information communication and society,1.968,101,1
1784,text1784,0.921,veryhigh,C,N,us,flint,15,N,Y,"what is flint? place, storytelling, and social media narrative reclamation during the flint water crisis",information communication and society,1.968,104,1
1879,text1879,0.921,veryhigh,C,N,us,americans,9,N,Y,"the black catalyst to tweet: the role of discrimination experience, group identification, and racial agency in black americans’ instrumental use of twitter",information communication and society,1.968,155,1
1943,text1943,0.921,veryhigh,C,N,us,new,3,N,Y,the horizons of technological control: automated surveillance in the new york subway,information communication and society,1.968,84,1
2102,text2102,0.768,high,C,N,china,chinese,13,N,Y,feature engineering vs. deep learning for paper section identification: toward applications in chinese medical literature,information processing and management,1.854,121,1
2012,text2012,0.822,veryhigh,C,N,russia,russian,8,N,Y,how many bots in russian troll tweets?,information processing and management,1.854,38,1
2262,text2262,0.925,veryhigh,C,N,south korea,korean,3,N,Y,reliable automatic word spacing using a space insertion and correction model based on neural networks in korean,information processing and management,1.854,111,1
2359,text2359,0.838,veryhigh,C,N,turkey,turkish,1,N,Y,on constituent chunking for turkish,information processing and management,1.854,35,1
2120,text2120,0.921,veryhigh,C,N,us,appalachian,16,N,Y,scenarios of technology use to promote community engagement: overcoming marginalization and bridging digital divides in the southern and central appalachian rural libraries,information processing and management,1.854,172,1
9845,text9845,0.933,veryhigh,M,Y,"ireland,us",irish,9,N,Y,information security behavior: a cross-cultural comparison of irish and us employees,information systems management,0.811,84,1
9844,text9844,0.72,high,C,N,jordan,jordanian,22,N,Y,consumer adoption of self-service technologies in the context of the jordanian banking industry: examining the moderating role of channel types,information systems management,0.811,143,1
9850,text9850,0.713,high,C,N,south africa,south,4,N,Y,the impact of perceived work complexity and shared leadership on team performance of it employees of south african firms,information systems management,0.811,120,1
9864,text9864,0.905,veryhigh,C,N,spain,spanish,16,N,Y,"e-government, transparency & reputation: an empirical study of spanish local government",information systems management,0.811,87,1
12445,text12445,0.921,veryhigh,C,N,us,worcester,0,N,Y,intro to coding using python at the worcester public library,information technology and libraries,0.548,60,1
6318,text6318,0.547,low,R,N,africa,sub,37,N,Y,the mobile phone as an argument for good governance in sub-saharan africa,information technology and people,1.074,73,1
6397,text6397,0.547,low,R,N,africa,sub,52,N,Y,"openness, ict and entrepreneurship in sub-saharan africa",information technology and people,1.074,56,1
6208,text6208,0.768,high,C,N,china,chinese,8,N,Y,physician-user interaction and users' perceived service quality: evidence from chinese mobile healthcare consultation,information technology and people,1.074,117,1
6388,text6388,0.858,veryhigh,C,N,croatia,croatia,11,N,Y,what social media activities reveal about election results? the use of facebook during the 2015 general election campaign in croatia,information technology and people,1.074,132,1
6395,text6395,0.903,veryhigh,C,N,france,french,9,N,Y,hidden facets of it projects are revealed only after deployment: the case of french agricultural cooperatives,information technology and people,1.074,109,1
6258,text6258,0.633,medium,C,N,india,indian,22,N,Y,key challenges to digital financial services in emerging economies: the indian context,information technology and people,1.074,86,1
6363,text6363,0.925,veryhigh,C,N,south korea,malaysian,15,N,Y,intention to donate via social network sites (snss): a comparison study between malaysian and south korean users,information technology and people,1.074,112,1
6370,text6370,0.782,high,C,N,sri lanka,sri,5,N,Y,child online safety and parental intervention: a study of sri lankan internet users,information technology and people,1.074,83,1
6324,text6324,0.947,veryhigh,C,N,sweden,sweden,9,N,Y,digital innovation in context: exploring serendipitous and unbounded digital innovation at the church of sweden,information technology and people,1.074,111,1
6259,text6259,0.455,low,C,N,yemen,yemeni,22,N,Y,perspective of yemeni students on use of online learning: extending the information systems success model with transformational leadership and compatibility,information technology and people,1.074,156,1
5998,text5998,0.547,low,R,N,africa,east,16,N,Y,spatiotemporal dynamics of cattle behavior and resource selection patterns on east african rangelands: evidence from gps-tracking,international journal of geographical information science,1.144,129,1
5748,text5748,0.951,veryhigh,C,N,australia,australian,23,N,Y,australian ‘gayborhoods’ and ‘lesborhoods’: a new method for estimating the number and prevalence of adult gay men and lesbian women living in each australian postcode,international journal of geographical information science,1.144,167,1
6044,text6044,0.768,high,C,N,china,chinese,12,N,Y,a hybrid method for chinese address segmentation,international journal of geographical information science,1.144,48,1
5764,text5764,0.796,high,R,N,eu,european,3,N,Y,reintroduction of the european bison (bison bonasus) in central-eastern europe: a case study,international journal of geographical information science,1.144,92,1
5845,text5845,0.929,veryhigh,C,N,uk,english,4,N,Y,hearing the silence: finding the middle ground in the spatial humanities? extracting and comparing perceived silence and tranquillity in the english lake district,international journal of geographical information science,1.144,162,1
6026,text6026,0.929,veryhigh,C,N,uk,england,16,N,Y,a new geodemographic classification of commuting flows for england and wales,international journal of geographical information science,1.144,76,1
5895,text5895,0.921,veryhigh,C,N,us,american,12,N,Y,spatial autocorrelation and data uncertainty in the american community survey: a critique,international journal of geographical information science,1.144,89,1
239,text239,0.547,low,R,N,africa,sub,5,N,Y,representation matters: an exploration of the socio-economic impacts of ict-enabled public value in the context of sub-saharan economies,international journal of information management,4.584,136,1
427,text427,0.547,low,R,N,africa,sub,44,N,Y,a usability assessment of e-government websites in sub-saharan africa,international journal of information management,4.584,69,1
345,text345,0.661,medium,C,n,bangladesh,bangladesh,102,N,Y,investigating factors influencing the physicians’ adoption of electronic health record (ehr) in healthcare system of bangladesh: an empirical study,international journal of information management,4.584,147,1
378,text378,0.768,high,C,N,china,chinese,55,N,Y,social tie formation in chinese online social commerce: the role of it affordances,international journal of information management,4.584,82,1
452,text452,0.768,high,C,N,china,yiliang,54,N,Y,characterizing information propagation patterns in emergencies: a case study with yiliang earthquake,international journal of information management,4.584,100,1
206,text206,0.752,high,C,N,colombia,universidad,16,N,Y,business intelligence governance framework in a university: universidad de la costa case study,international journal of information management,4.584,94,1
118,text118,0.633,medium,C,N,india,indian,51,N,Y,perception-based model for analyzing the impact of enterprise blockchain adoption on scm in the indian service industry,international journal of information management,4.584,119,1
411,text411,0.754,high,R,N,latin america,latin,27,N,Y,how ceos use twitter: a comparative analysis of global and latin american companies,international journal of information management,4.584,83,1
122,text122,0.803,veryhigh,C,N,malaysia,malaysian,171,N,Y,time to seize the digital evolution: adoption of blockchain in operations and supply chain management among malaysian smes,international journal of information management,4.584,122,1
12513,text12513,0.796,high,R,N,eu,eu,0,N,Y,towards a just internet access: republican net neutrality for the eu,international journal of law and information technology,0.543,68,1
12523,text12523,0.796,high,R,N,eu,eu,2,N,Y,juggling more than three balls at once: multilevel jurisdictional challenges in eu data protection regulation,international journal of law and information technology,0.543,109,1
12536,text12536,0.796,high,R,N,eu,european,0,N,Y,are online consumers protected from geo-blocking practices within the european union?,international journal of law and information technology,0.543,85,1
12541,text12541,0.796,high,R,N,eu,eu,1,N,Y,intermediary publishers and european data protection: delimiting the ambit of responsibility for third-party rights through a synthetic interpretation of the eu acquis,international journal of law and information technology,0.543,167,1
12538,text12538,0.782,high,C,N,sri lanka,sri,0,N,Y,is there a legal basis for blocking injunctions under sri lankan law?,international journal of law and information technology,0.543,69,1
10460,text10460,0.547,low,R,N,africa,african,4,N,Y,research data management at an african medical university: implications for academic librarianship,journal of academic librarianship,0.741,98,1
10630,text10630,0.951,veryhigh,C,N,australia,australian,3,N,Y,keeping up the momentum: a longitudinal evaluation of professional development in digital technologies for academic librarians at an australian university,journal of academic librarianship,0.741,154,1
10624,text10624,0.936,veryhigh,M,Y,"australia,us",australian,12,N,Y,the role of the university library in supporting international student transition: insights from an australian-american case study,journal of academic librarianship,0.741,130,1
10524,text10524,0.768,high,C,N,china,nanjing,2,N,Y,optimizing library's organizational climate through improvement of the weak scales identified by climatequal™ surveys: a case study of nanjing agricultural university library,journal of academic librarianship,0.741,174,1
10676,text10676,0.768,high,C,N,china,chinese,3,N,Y,challenges and opportunities: a survey of practitioners’ perceptions on risks in chinese library transformation,journal of academic librarianship,0.741,111,1
10433,text10433,0.749,high,R,N,east asia,east,0,N,Y,the calligraphy connections project: engaged scholarship of historical east asian texts,journal of academic librarianship,0.741,87,1
10506,text10506,0.632,medium,C,N,ghana,kwame,7,N,Y,shaping scholarly communication guidance channels to meet the research needs and skills of doctoral students at kwame nkrumah university of science and technology,journal of academic librarianship,0.741,162,1
