"id","doc_id","HDI","HDI_Level","CountryRegionMulti","Averaged","GPE","token","Citations","False_Positive","False_Negative","Titles","Journals","SJR","titles_cnt","titles_has_country","pos","prop"
10991,"text10991",0.921,"veryhigh","C","N","us","usa",2,"N","Y","a comparative analysis of instructional course themes in lis and museum studies programs in the usa","information and learning science",0.688,99,1,97,0.97979797979798
11035,"text11035",0.703,"high","C","N","vietnam","mekong",1,"N","Y","enhancing librarianship students’ awareness of preservation at the learning resource center of a mekong delta university","information and learning science",0.688,120,1,98,0.816666666666667
1637,"text1637",0.951,"veryhigh","C","N","australia","australian",0,"N","Y","addressing a volatile subject: adaptive measurement of australian digital capacities","information communication and society",1.968,84,1,56,0.666666666666667
1751,"text1751",0.951,"veryhigh","C","N","australia","australian",8,"N","Y","healthy infrastructure: australian national broadband network policy implementation and its importance to health equity","information communication and society",1.968,119,1,25,0.210084033613445
1741,"text1741",0.855,"veryhigh","C","N","chile","chile",8,"N","Y","varieties of digital activist practices: students and mobilization in chile","information communication and society",1.968,75,1,71,0.946666666666667
1615,"text1615",0.768,"high","C","N","china","chinese",6,"N","Y","multiple uses and anti-purposefulness on momo, a chinese dating/social app","information communication and society",1.968,74,1,50,0.675675675675676
1668,"text1668",0.768,"high","C","N","china","chinese",10,"N","Y","chilling netflix: financialization, and the influence of the chinese market on the american entertainment industry","information communication and society",1.968,114,1,62,0.543859649122807
1683,"text1683",0.768,"high","C","N","china","chinese",28,"N","Y","calculating dating goals: data gaming and algorithmic sociality on blued, a chinese gay dating app","information communication and society",1.968,98,1,77,0.785714285714286
1696,"text1696",0.768,"high","C","N","china","chinese",9,"N","Y","from non-player characters to othered participants: chinese women's gaming experience in the ‘free’ digital market","information communication and society",1.968,114,1,53,0.464912280701754
1707,"text1707",0.768,"high","C","N","china","chinanet",6,"N","Y","meta-information censorship and the creation of the chinanet bubble","information communication and society",1.968,67,1,53,0.791044776119403
1735,"text1735",0.796,"high","R","N","eu","europe",9,"N","Y","governance by indicators: the case of the digital agenda for europe","information communication and society",1.968,67,1,62,0.925373134328358
1643,"text1643",0.705,"high","C","N","indonesia","indonesian",11,"N","Y","fake news practices in indonesian newsrooms during and after the palu earthquake: a hierarchy-of-influences approach","information communication and society",1.968,116,1,24,0.206896551724138
1859,"text1859",0.919,"veryhigh","C","N","israel","israeli",14,"N","Y","childless in an ivf-nation: online stigma-coping strategies in support groups for childless israeli women","information communication and society",1.968,105,1,93,0.885714285714286
1649,"text1649",0.895,"veryhigh","C","N","italy","italian",28,"N","Y","it takes a village to manipulate the media: coordinated link sharing behavior during 2018 and 2019 italian elections","information communication and society",1.968,116,1,100,0.862068965517241
1839,"text1839",0.895,"veryhigh","C","N","italy","italian",10,"N","Y","diverging patterns of interaction around news on social media: insularity and partisanship during the 2018 italian election campaign","information communication and society",1.968,132,1,108,0.818181818181818
1818,"text1818",0.754,"high","R","N","latin america","latin",25,"N","Y","age for learning, age for teaching: the role of inter-generational, intra-household learning in internet use by older adults in latin america","information communication and society",1.968,141,1,129,0.914893617021277
1939,"text1939",0.683,"medium","C","N","morocco","moroccan",5,"N","Y","citizens of the margin: citizenship and youth participation on the moroccan social web","information communication and society",1.968,86,1,68,0.790697674418605
1723,"text1723",0.941,"veryhigh","C","N","netherlands","dutch",7,"N","Y","finding the news and mapping the links: a case study of hypertextuality in dutch-language health news websites","information communication and society",1.968,110,1,76,0.690909090909091
1727,"text1727",0.941,"veryhigh","C","N","netherlands","chinese",30,"N","Y","chinese computational propaganda: automation, algorithms and the manipulation of information about chinese politics on twitter and weibo","information communication and society",1.968,136,1,1,0.00735294117647059
1732,"text1732",0.937,"veryhigh","C","N","new zealand","new",4,"N","Y","how do 10-year-old new zealanders participate in a digital world?","information communication and society",1.968,65,1,20,0.307692307692308
1759,"text1759",0.699,"medium","C","N","philippines","philippines",17,"N","Y","towards professionalism through social networks: constructing an occupational community via facebook usage by temporary migrant workers from the philippines","information communication and society",1.968,156,1,146,0.935897435897436
1677,"text1677",0.905,"veryhigh","C","N","spain","spanish",6,"N","Y","affective homogeneity in the spanish general election debate. a comparative analysis of social networks political agents","information communication and society",1.968,120,1,30,0.25
1631,"text1631",0.577,"medium","C","N","syria","syrian",7,"N","Y","understanding power positions in a new digital landscape: perceptions of syrian refugees and data experts on relocation algorithm","information communication and society",1.968,129,1,74,0.573643410852713
1628,"text1628",0.929,"veryhigh","C","N","uk","edinburgh",7,"N","Y","delivering edinburgh: uncovering the digital geography of platform labour in the city","information communication and society",1.968,85,1,12,0.141176470588235
1912,"text1912",0.929,"veryhigh","C","N","uk","oslo",28,"N","Y","visual social media and affectivity: the impact of the image of alan kurdi and young people’s response to the refugee crisis in oslo and sheffield","information communication and society",1.968,146,1,129,0.883561643835616
1674,"text1674",0.921,"veryhigh","C","N","us","us",53,"N","Y","fake news as an informational moral panic: the symbolic deviancy of social media during the 2016 us presidential election","information communication and society",1.968,121,1,98,0.809917355371901
1734,"text1734",0.921,"veryhigh","C","N","us","us",7,"N","Y","googling for trump: investigating online information seeking during the 2016 us presidential election","information communication and society",1.968,101,1,78,0.772277227722772
1784,"text1784",0.921,"veryhigh","C","N","us","flint",15,"N","Y","what is flint? place, storytelling, and social media narrative reclamation during the flint water crisis","information communication and society",1.968,104,1,9,0.0865384615384615
1879,"text1879",0.921,"veryhigh","C","N","us","americans",9,"N","Y","the black catalyst to tweet: the role of discrimination experience, group identification, and racial agency in black americans’ instrumental use of twitter","information communication and society",1.968,155,1,118,0.761290322580645
1943,"text1943",0.921,"veryhigh","C","N","us","new",3,"N","Y","the horizons of technological control: automated surveillance in the new york subway","information communication and society",1.968,84,1,70,0.833333333333333
2102,"text2102",0.768,"high","C","N","china","chinese",13,"N","Y","feature engineering vs. deep learning for paper section identification: toward applications in chinese medical literature","information processing and management",1.854,121,1,96,0.793388429752066
2012,"text2012",0.822,"veryhigh","C","N","russia","russian",8,"N","Y","how many bots in russian troll tweets?","information processing and management",1.854,38,1,18,0.473684210526316
2262,"text2262",0.925,"veryhigh","C","N","south korea","korean",3,"N","Y","reliable automatic word spacing using a space insertion and correction model based on neural networks in korean","information processing and management",1.854,111,1,106,0.954954954954955
2359,"text2359",0.838,"veryhigh","C","N","turkey","turkish",1,"N","Y","on constituent chunking for turkish","information processing and management",1.854,35,1,29,0.828571428571429
2120,"text2120",0.921,"veryhigh","C","N","us","appalachian",16,"N","Y","scenarios of technology use to promote community engagement: overcoming marginalization and bridging digital divides in the southern and central appalachian rural libraries","information processing and management",1.854,172,1,146,0.848837209302326
9845,"text9845",0.933,"veryhigh","M","Y","ireland,us","irish",9,"N","Y","information security behavior: a cross-cultural comparison of irish and us employees","information systems management",0.811,84,1,63,0.75
9844,"text9844",0.72,"high","C","N","jordan","jordanian",22,"N","Y","consumer adoption of self-service technologies in the context of the jordanian banking industry: examining the moderating role of channel types","information systems management",0.811,143,1,70,0.48951048951049
9850,"text9850",0.713,"high","C","N","south africa","south",4,"N","Y","the impact of perceived work complexity and shared leadership on team performance of it employees of south african firms","information systems management",0.811,120,1,102,0.85
9864,"text9864",0.905,"veryhigh","C","N","spain","spanish",16,"N","Y","e-government, transparency & reputation: an empirical study of spanish local government","information systems management",0.811,87,1,64,0.735632183908046
12445,"text12445",0.921,"veryhigh","C","N","us","worcester",0,"N","Y","intro to coding using python at the worcester public library","information technology and libraries",0.548,60,1,37,0.616666666666667
6318,"text6318",0.547,"low","R","N","africa","sub",37,"N","Y","the mobile phone as an argument for good governance in sub-saharan africa","information technology and people",1.074,73,1,56,0.767123287671233
6397,"text6397",0.547,"low","R","N","africa","sub",52,"N","Y","openness, ict and entrepreneurship in sub-saharan africa","information technology and people",1.074,56,1,39,0.696428571428571
6208,"text6208",0.768,"high","C","N","china","chinese",8,"N","Y","physician-user interaction and users' perceived service quality: evidence from chinese mobile healthcare consultation","information technology and people",1.074,117,1,80,0.683760683760684
6388,"text6388",0.858,"veryhigh","C","N","croatia","croatia",11,"N","Y","what social media activities reveal about election results? the use of facebook during the 2015 general election campaign in croatia","information technology and people",1.074,132,1,126,0.954545454545455
6395,"text6395",0.903,"veryhigh","C","N","france","french",9,"N","Y","hidden facets of it projects are revealed only after deployment: the case of french agricultural cooperatives","information technology and people",1.074,109,1,78,0.715596330275229
6258,"text6258",0.633,"medium","C","N","india","indian",22,"N","Y","key challenges to digital financial services in emerging economies: the indian context","information technology and people",1.074,86,1,73,0.848837209302326
6363,"text6363",0.925,"veryhigh","C","N","south korea","malaysian",15,"N","Y","intention to donate via social network sites (snss): a comparison study between malaysian and south korean users","information technology and people",1.074,112,1,81,0.723214285714286
6370,"text6370",0.782,"high","C","N","sri lanka","sri",5,"N","Y","child online safety and parental intervention: a study of sri lankan internet users","information technology and people",1.074,83,1,59,0.710843373493976
6324,"text6324",0.947,"veryhigh","C","N","sweden","sweden",9,"N","Y","digital innovation in context: exploring serendipitous and unbounded digital innovation at the church of sweden","information technology and people",1.074,111,1,106,0.954954954954955
6259,"text6259",0.455,"low","C","N","yemen","yemeni",22,"N","Y","perspective of yemeni students on use of online learning: extending the information systems success model with transformational leadership and compatibility","information technology and people",1.074,156,1,16,0.102564102564103
5998,"text5998",0.547,"low","R","N","africa","east",16,"N","Y","spatiotemporal dynamics of cattle behavior and resource selection patterns on east african rangelands: evidence from gps-tracking","international journal of geographical information science",1.144,129,1,79,0.612403100775194
5748,"text5748",0.951,"veryhigh","C","N","australia","australian",23,"N","Y","australian ‘gayborhoods’ and ‘lesborhoods’: a new method for estimating the number and prevalence of adult gay men and lesbian women living in each australian postcode","international journal of geographical information science",1.144,167,1,1,0.00598802395209581
6044,"text6044",0.768,"high","C","N","china","chinese",12,"N","Y","a hybrid method for chinese address segmentation","international journal of geographical information science",1.144,48,1,21,0.4375
5764,"text5764",0.796,"high","R","N","eu","european",3,"N","Y","reintroduction of the european bison (bison bonasus) in central-eastern europe: a case study","international journal of geographical information science",1.144,92,1,23,0.25
